Umpire,Nationality,First officiated ,Last officiated ,No. of Matches 
K. N. Ananthapadmanabhan ,          India ,2016,2022,53
Sudhir Asnani ,  India ,2009,2013,31
Yeshwant Barde ,  India ,2017,2022,27
Gary Baxter ,  New Zealand ,2009,2009,7
Mark Benson ,  England ,2008,2009,13
Krishnamachari Bharatan ,  India ,2016,2016,3
Billy Bowden ,  New Zealand ,2009,2014,38
Anil Chaudhary ,  India ,2012,2022,109
Johan Cloete ,  South Africa ,2012,2015,17
Anil Dandekar ,  India ,2016,2021,32
Aleem Dar ,  Pakistan ,2008,2014,38
Subrat Das ,  India ,2010,2013,13
Subroto Das ,  India ,2013,2013,1
Steve Davis ,  Australia ,2008,2008,7
Abhijit Deshmukh ,  India ,2017,2018,12
Rajesh Deshpande ,  India ,2014,2015,8
Kumar Dharmasena ,  Sri Lanka ,2009,2018,94
Billy Doctrove , West Indies ,2008,2012,44
Marais Erasmus ,  South Africa ,2009,2022,69
Simon Fry ,  Australia ,2015,2015,6
Chris Gaffaney ,  New Zealand ,2015,2022,64
Ulhas Gandhe ,  India ,2019,2022,18
Michael Gough ,  England ,2021,2022,10
Ian Gould ,  England ,2019,2019,6
Krishna Hariharan ,  India ,2008,2011,21
Daryl Harper ,  Australia ,2008,2010,28
Sanjay Hazare ,  India ,2009,2014,17
Tony Hill ,  New Zealand ,2011,2011,6
Ian Howell ,  South Africa ,2008,2009,14
Richard Illingworth ,  England ,2014,2021,40
Sadashiv Iyer ,  India ,2022,2022,4
Arani Jayaprakash ,  India ,2008,2008,7
Brian Jerling ,  South Africa ,2008,2010,18
Saiyed Khalid ,  India ,2021,2022,7
Nand Kishore ,  India ,2016,2019,25
Rudi Koertzen ,  South Africa ,2008,2011,42
Vineet Kulkarni ,  India ,2012,2020,51
Nigel Llong ,  England ,2013,2019,37
Jayaraman Madanagopal ,  India ,2021,2022,9
Nitin Menon ,  India ,2016,2022,78
C. K. Nandan ,  India ,2013,2021,59
Bruce Oxenford ,  Australia ,2012,2022,55
Nitin Pandit ,  India ,2022,2022,4
Rohan Pandit ,  India ,2022,2022,4
Pashchim Pathak ,  India ,2014,2022,15
Nikhil Patwardhan ,  India ,2022,2022,3
G. A. Pratapkumar ,  India ,2008,2008,6
Shashank Ranade ,  India ,2009,2009,4
Asad Rauf ,  Pakistan ,2008,2013,51
Sundaram Ravi ,  India ,2009,2021,131
Chirra Ravikanthreddy ,  India ,2022,2022,5
Paul Reiffel ,  Australia ,2011,2021,28
Amiesh Saheba ,  India ,2008,2011,27
Chettithody Shamshuddin ,  India ,2012,2021,89
Tapan Sharma ,  India ,2021,2022,7
Virender Sharma ,  India ,2016,2022,44
Suresh Shastri ,  India ,2008,2011,14
Ivaturi Shivram ,  India ,2008,2008,6
Navdeep Singh ,  India ,2021,2022,7
Krishnaraj Srinath ,  India ,2013,2015,15
Krishnamachari Srinivasan ,  India ,2015,2021,9
Shavir Tarapore ,  India ,2009,2012,31
Simon Taufel ,  Australia ,2009,2013,55
Russell Tiffin ,  Zimbabwe ,2008,2011,30
Rod Tucker ,  Australia ,2011,2022,52
Tyron Wijewardene ,  Sri Lanka ,2009,2009,6
